reference	hypA	hypB	annotation
au delà de ça bien sûr j' aurais aimé qu' il soutienne l' écologie politique au delà	au-delà de ça bien sûr j' aurais aimé euh qu' il soutiennen l' écologie politique au-delà	au-delà de ça bien sûr j' aurais aimé euh qui soutienne l' écologie politique au-delà	1
pas que je mélange tout c' est l' exacte vérité	que je mélange tout c' est l' exacte vérité g	pas que je mélange tout c' est l' exacte secérité	0
pas que je mélange tout c' est l' exacte vérité	pas que je mélange tout c' est l' exacte secérité	que je mélange tout c' est l' exacte vérité g	1
des éditions hugo et compagnie et puis avec vous avec nous virgile caillet bonsoir vous êtes directeur de kantarsport	éditions hugo et compagnie et puis avec vous vous avec nous virgiles cailyet bonsoir vous êtes eu directeur de cantarsport	d' édition hugo et compagnie et puis avec vous vous avec nous virgines caier bonsoir vous êtes le directeur de quant ar sport	1
des éditions hugo et compagnie et puis avec vous avec nous virgile caillet bonsoir vous êtes directeur de kantarsport	d' édition hugo et compagnie et puis avec vous vous avec nous virgines caier bonsoir vous êtes le directeur de quant ar sport	éditions hugo et compagnie et puis avec vous vous avec nous virgiles cailyet bonsoir vous êtes eu directeur de cantarsport	0
tenu des porté des calomnies inadmissibles sur une de ses adversaires	tenu des porter des calomnies inadmissible sur une de ses adversaires	euh tenue euh des porter des calomnies inadmissibles sur euh une de ses adversaires	1
tenu des porté des calomnies inadmissibles sur une de ses adversaires	euh tenue euh des porter des calomnies inadmissibles sur euh une de ses adversaires	tenu des porter des calomnies inadmissible sur une de ses adversaires	0
deux styles deux ambiances mais une même idée réussir une démonstration de force jean baptiste daoulas	de style deux ambiances mais une même idée réussir une démonstration de force jean-baptiste daoulas	deux styles deux ambiances mais une même idée réussir une démonstration de force jean-baptiste nagoulaz	0.5
deux styles deux ambiances mais une même idée réussir une démonstration de force jean baptiste daoulas	deux styles deux ambiances mais une même idée réussir une démonstration de force jean-baptiste nagoulaz	de style deux ambiances mais une même idée réussir une démonstration de force jean-baptiste daoulas	0.5
je ferai je ferai cent pour cent de ce que nous déciderons collectivement de faire	je ferais je ferais euh cent pour cent euh ce que nous déciderons collectivement de faire	je ferais je ferais euh cent pourcent de ce que nous déciderons collectivement de faire	0
je ferai je ferai cent pour cent de ce que nous déciderons collectivement de faire	je ferais je ferais euh cent pourcent de ce que nous déciderons collectivement de faire	je ferais je ferais euh cent pour cent euh ce que nous déciderons collectivement de faire	1
et ils ont fait la prière allah en arabe	ils ont fait la prière la un haras	et ils ont fait la prière à là en arabe	0
et ils ont fait la prière allah en arabe	et ils ont fait la prière à là en arabe	ils ont fait la prière la un haras	1
formation professionnelle c' est un des points	professionnel c' est un des points	le prouvent seule c' est un des points	1
formation professionnelle c' est un des points	le prouvent seule c' est un des points	professionnel c' est un des points	0
moi quand j' étais à valeurs actuelles nicolas sarkozy ne nous voyait pas donc	moi candidat à l' heure actuelle euh nicola sarkozy ne nous voyait pas donc euh	moi qu' en littéral l' heutre actuelle euh nicolas sarkozy ne nous voyaiez pas donc euh	1
moi quand j' étais à valeurs actuelles nicolas sarkozy ne nous voyait pas donc	moi qu' en littéral l' heutre actuelle euh nicolas sarkozy ne nous voyaiez pas donc euh	moi candidat à l' heure actuelle euh nicola sarkozy ne nous voyait pas donc euh	0
que fait il dénoncer les uns ça ne donne pas de solutions pour les salariés créer cette tension	fait il dénoncer les ans ça ne donne pas des solutions pour les salariés créer cette tension	que fait-il dénoncer les uns ça ne donne pas des solutions pour les salariés euh créer euh cette tension	0
que fait il dénoncer les uns ça ne donne pas de solutions pour les salariés créer cette tension	que fait-il dénoncer les uns ça ne donne pas des solutions pour les salariés euh créer euh cette tension	fait il dénoncer les ans ça ne donne pas des solutions pour les salariés créer cette tension	1
et aussi parce dit elle elle était jolie françois hollande possède un nom un niveau correct tout comme françois bayrou	aussi parce que dit elle elle était jolie françois hollande possède un an un niveau correct tout comme françois bayrou	et aussi parce que dit-elle elle était jolie françois hollande possète un un un niveau correct tout comme françois bayrou	0
et aussi parce dit elle elle était jolie françois hollande possède un nom un niveau correct tout comme françois bayrou	et aussi parce que dit-elle elle était jolie françois hollande possète un un un niveau correct tout comme françois bayrou	aussi parce que dit elle elle était jolie françois hollande possède un an un niveau correct tout comme françois bayrou	1
et qui seront mis en oeuvre je n' en doute pas une seconde par la majorité parlementaire	qui seront mises en oeuvre je n' en doute pas une seconde par la majorité parlementaire	et qui seront mises en oeuvre je n' en doute pas une seconde par la majorité parlementaire	0
et qui seront mis en oeuvre je n' en doute pas une seconde par la majorité parlementaire	et qui seront mises en oeuvre je n' en doute pas une seconde par la majorité parlementaire	qui seront mises en oeuvre je n' en doute pas une seconde par la majorité parlementaire	1
pas de dépénalisation	dépénalisation	pas e dépénalisation	0
pas de dépénalisation	pas e dépénalisation	dépénalisation	1
j moins un	j' ai moins un	j' y mois un	0
j moins un	j' y mois un	j' ai moins un	1
en tirer les conclusions mais je je trouve cette	euh en tirer des conclusions mais j je trouve cette euh	euh en tirer les conclusions mais je je trouve cetteuh	1
en tirer les conclusions mais je je trouve cette	euh en tirer les conclusions mais je je trouve cetteuh	euh en tirer des conclusions mais j je trouve cette euh	0
en direct avec candice mahout qui prend elle aussi l' avion tout à l' heure	avec candice mahout qui prend un missile avant tout à l' heure	en direct aveclandis mao qui prend même aussi l aion tout à l' heure	0
en direct avec candice mahout qui prend elle aussi l' avion tout à l' heure	en direct aveclandis mao qui prend même aussi l aion tout à l' heure	avec candice mahout qui prend un missile avant tout à l' heure	1
et c' est là	et cela	eh c' est là	0
et c' est là	eh c' est là	et cela	1
ce soit rendu possible avec	se() soit rendue possible avec euh	se resoit rendu possible avec euh	1
ce soit rendu possible avec	se resoit rendu possible avec euh	se() soit rendue possible avec euh	0
les années quatre vingt	des années quatre	et les années quatre-vingt	0
les années quatre vingt	et les années quatre-vingt	des années quatre	1
peuvent ils considérer que c' est un risque	peuvent-ils considérer que c' est un risque	peuve-t-il considérer que c' est un risque	1
peuvent ils considérer que c' est un risque	peuve-t-il considérer que c' est un risque	peuvent-ils considérer que c' est un risque	0
alors ça oui	ça oui	alors ça oui c est	0
alors ça oui	alors ça oui c est	ça oui	1
on l' avait laissé y a onze mois	on avait laissé y a onze mois	on l' avait laissé i y a onze mois	0
on l' avait laissé y a onze mois	on l' avait laissé i y a onze mois	on avait laissé y a onze mois	1
comment il s' appelle	il s' appelle	et ça pe e	1
comment il s' appelle	et ça pe e	il s' appelle	0
grâce au tube de cet album le groupe a réussi à atteindre	fasce au type de cet album le groupe a réussi à atteindre	grarce au tule de cet album le groupe a réussi à atteindre	0
grâce au tube de cet album le groupe a réussi à atteindre	grarce au tule de cet album le groupe a réussi à atteindre	fasce au type de cet album le groupe a réussi à atteindre	1
décortiquons cher christophe bonjour	décortiquant jacqueschristophe bonjour	des corticans jacques christophe bonjour	1
décortiquons cher christophe bonjour	des corticans jacques christophe bonjour	décortiquant jacqueschristophe bonjour	0
si l' on regarde dit il les engagements mirobolants de quatre vingt un quatre vingt quinze	si l' on regarde dit-il les engagements mirobolant de quatre-vingt un quatre-vingt quinze	si l' on regarde dit-il les engagements miro bolland de quatre-vingt n quatre-vingt quinze	1
si l' on regarde dit il les engagements mirobolants de quatre vingt un quatre vingt quinze	si l' on regarde dit-il les engagements miro bolland de quatre-vingt n quatre-vingt quinze	si l' on regarde dit-il les engagements mirobolant de quatre-vingt un quatre-vingt quinze	0
nicolas hulot le perdant de la primaire europe écologie les verts refuse	nicolas hulot le perdant de la primaire europe ecologie les verts refuse	nicolas hulot le perdont de la primaire europe écologie les verts refuse	1
nicolas hulot le perdant de la primaire europe écologie les verts refuse	nicolas hulot le perdont de la primaire europe écologie les verts refuse	nicolas hulot le perdant de la primaire europe ecologie les verts refuse	0
possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	possible l' agence m moj s a placé hier soir ces pays sous perspective négative	possible l' agence moodiz a placé hier soir ses pays sous perspective négative	0
possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	possible l' agence moodiz a placé hier soir ses pays sous perspective négative	possible l' agence m moj s a placé hier soir ces pays sous perspective négative	1
et désormais c' est au grand point virgule qu' il donne son spectacle et parole d' expert	et désormais c' est au grand pointvirgule qu' il donne son spectacle et parle d' expert	et désormais c' est au grand point virgule qu' il donne son spectacle et parle d' experts	0
et désormais c' est au grand point virgule qu' il donne son spectacle et parole d' expert	et désormais c' est au grand point virgule qu' il donne son spectacle et parle d' experts	et désormais c' est au grand pointvirgule qu' il donne son spectacle et parle d' expert	1
en soixante huit c' était même pas inventé on connaissait pas ces vélos là	en soixante huit sept m même pas inventé on connaissait pas ces vélos là	euh en soixante huit c' était même pas inventé on connaissait pas ces vélos-là	0
en soixante huit c' était même pas inventé on connaissait pas ces vélos là	euh en soixante huit c' était même pas inventé on connaissait pas ces vélos-là	en soixante huit sept m même pas inventé on connaissait pas ces vélos là	1
par le passé un certain nombre de boycott d' ailleurs	euh par le passé nun certain nombre de boycott d' ailleurs	euh par le passé un certain nombre de boycott d' ailleurs	0
par le passé un certain nombre de boycott d' ailleurs	euh par le passé un certain nombre de boycott d' ailleurs	euh par le passé nun certain nombre de boycott d' ailleurs	1
qu' elle vit dans un château et je rappelle l' origine de ce château elle c' est une héritière	que' vit à saint château et je rappelle l' origine de ce château elle c' est une héritière	qu' elle vit das son château et je rappelle l' origine de ce château et l( c' est une héritière	0
qu' elle vit dans un château et je rappelle l' origine de ce château elle c' est une héritière	qu' elle vit das son château et je rappelle l' origine de ce château et l( c' est une héritière	que' vit à saint château et je rappelle l' origine de ce château elle c' est une héritière	1
de poursuivre les réformes structurelles de l' hôpital or ces réformes structurelles de l' hôpital qui sont le seul moyen	poursuivre les réformes structurelles de l' hôpital orsay réforme structurelle de l' hôpital qui sont les seuls moyens	poursuivre les réformes structurelles de l' hôpital or c' est réforme structurelle de l' hôpital qui sont les seuls moyens	0
de poursuivre les réformes structurelles de l' hôpital or ces réformes structurelles de l' hôpital qui sont le seul moyen	poursuivre les réformes structurelles de l' hôpital or c' est réforme structurelle de l' hôpital qui sont les seuls moyens	poursuivre les réformes structurelles de l' hôpital orsay réforme structurelle de l' hôpital qui sont les seuls moyens	1
c' est bien c' est bien c' est un tube ça	eh bien c' est à dire ça ça	sit bien je vais vie c es ça je sens tube ça	0
c' est bien c' est bien c' est un tube ça	sit bien je vais vie c es ça je sens tube ça	eh bien c' est à dire ça ça	1
qui était fébrile peu sûr de lui	était fébrile peu sûr de lui	qui était fébrile peu sûrre de lui	0
qui était fébrile peu sûr de lui	qui était fébrile peu sûrre de lui	était fébrile peu sûr de lui	1
je suis tout à fait d' accord avec lui il faut peut être parler davantage de bande	je suis tout à fait d' accord avec lui il faut peut-être parler davantage de bande	je suis tout à fait d' accord avec lui il faut peut-être parler d' avantage de bande	1
je suis tout à fait d' accord avec lui il faut peut être parler davantage de bande	je suis tout à fait d' accord avec lui il faut peut-être parler d' avantage de bande	je suis tout à fait d' accord avec lui il faut peut-être parler davantage de bande	0
et non d' une idéologie partisane ou syndicale	et non d' une idéologie partisane au syndicale	et non d' une idéologie partisane au syndical	1
et non d' une idéologie partisane ou syndicale	et non d' une idéologie partisane au syndical	et non d' une idéologie partisane au syndicale	0
sur la tyrannie de l' émotion	c' est la puramie de l' émotion	c' est la turannie de l' émotion	0
sur la tyrannie de l' émotion	c' est la turannie de l' émotion	c' est la puramie de l' émotion	1
on a eu alain bernard on a camille lacourt yannick agnel et d' autres et en même temps	euh on a eu alain bernard euh on a euh camille la cour et une camion des d' autres et en même temps	euh on a eu alain bernard euh on a euh camis la cour y an ny canyadet d' autres et en même temps	1
on a eu alain bernard on a camille lacourt yannick agnel et d' autres et en même temps	euh on a eu alain bernard euh on a euh camis la cour y an ny canyadet d' autres et en même temps	euh on a eu alain bernard euh on a euh camille la cour et une camion des d' autres et en même temps	0
au dernier étage de l' olympia il a regardé le parterre il y avait tout le gratin du paf	au dernier étage de l' olympia il a regardé par terre il y avait tout le gratin du paf	aux derniers étages de l' un pierre il a regardé euh le parterre irait tout le gratteur du paf	1
au dernier étage de l' olympia il a regardé le parterre il y avait tout le gratin du paf	aux derniers étages de l' un pierre il a regardé euh le parterre irait tout le gratteur du paf	au dernier étage de l' olympia il a regardé par terre il y avait tout le gratin du paf	0
pas de scénario à la grecque	scénario à la grecque	pas de scénario à la grève	1
pas de scénario à la grecque	pas de scénario à la grève	scénario à la grecque	0
soit on s' écoute à tour de rôle soit on se coupe la parole	ois on s' écoute un tour de rôle je pense coupe la parole	(fou on s' écoute à tour de rôle je cois on se coupe la parole	0
soit on s' écoute à tour de rôle soit on se coupe la parole	(fou on s' écoute à tour de rôle je cois on se coupe la parole	ois on s' écoute un tour de rôle je pense coupe la parole	1
ça va alors ça y est vous êtes prête	va bon ça allez vous être pr	ui va lorvsalez vous êtes prêt	1
ça va alors ça y est vous êtes prête	ui va lorvsalez vous êtes prêt	va bon ça allez vous être pr	0
il nous a semblé	assemblée	qui nous a semblé	0
il nous a semblé	qui nous a semblé	assemblée	1
nous sommes trois à nous départager	sommes trois à nous départ c' est vrai	nous sommes trois à nous déparceler	0
nous sommes trois à nous départager	nous sommes trois à nous déparceler	sommes trois à nous départ c' est vrai	1
si c' est	je suisse	si	0
si c' est	si	je suisse	1
il est pas très tendre avec avec eva joly	tendre euh avec avec évag non	à très tendre euh avec avec evagn	0
il est pas très tendre avec avec eva joly	à très tendre euh avec avec evagn	tendre euh avec avec évag non	1
assez de fuites pour tenir en haleine les futurs quatre milliards de téléspectateurs il y a eu quelques	assez de fuite pour tenir en halaine les futurs quatre milliards de téléspectateurs il y a eu quelques	assez de fuite pour tenir en à l' aine les futurs quatre milliards de téléspectateurs il y a eu quelques	1
assez de fuites pour tenir en haleine les futurs quatre milliards de téléspectateurs il y a eu quelques	assez de fuite pour tenir en à l' aine les futurs quatre milliards de téléspectateurs il y a eu quelques	assez de fuite pour tenir en halaine les futurs quatre milliards de téléspectateurs il y a eu quelques	0
alors jean marie le guen	alors sans marrie le guen	alors jean-marie le g	0
alors jean marie le guen	alors jean-marie le g	alors sans marrie le guen	1
mario draghi a multiplié les injections de liquidités pour soutenir les établissements bancaires européens	mario draghi à multiplier les injections de liquidités pour soutenir les établissements bancaires européens	mario dragui a multiplié les injections de liquidités pour soutenir les établissements bancaires européens	0
mario draghi a multiplié les injections de liquidités pour soutenir les établissements bancaires européens	mario dragui a multiplié les injections de liquidités pour soutenir les établissements bancaires européens	mario draghi à multiplier les injections de liquidités pour soutenir les établissements bancaires européens	1
merci andré paccou dominique rizet manuel valls dit le sport l' immobilier	andré pachoux dominique frisait manuel valls dit le sport l' immobilier	merci à andré pacou dominique rizet manuel valls dit le sport l' immobilier	0
merci andré paccou dominique rizet manuel valls dit le sport l' immobilier	merci à andré pacou dominique rizet manuel valls dit le sport l' immobilier	andré pachoux dominique frisait manuel valls dit le sport l' immobilier	1
tout l' olympia pour lui il était à son apogée réservoir prod était vraiment la boîte de tous les succès	tout l' olympia pour lui il était à son apoggé réservoir pro d' était vraiment la boîite de tous les succès	tout l' olympia pour lui il était à son appogé réservoir pr odetté vraimont la boîte de tous les succès	1
tout l' olympia pour lui il était à son apogée réservoir prod était vraiment la boîte de tous les succès	tout l' olympia pour lui il était à son appogé réservoir pr odetté vraimont la boîte de tous les succès	tout l' olympia pour lui il était à son apoggé réservoir pro d' était vraiment la boîite de tous les succès	0
a totalement raison c' est que cet accord portera vraiment ses fruits en période de de	raison c' est que cet accord portera vraiment ses fruits en période de deux ans	non c' est que cet accord portera vraiment ses fruits en période de deux	1
a totalement raison c' est que cet accord portera vraiment ses fruits en période de de	non c' est que cet accord portera vraiment ses fruits en période de deux	raison c' est que cet accord portera vraiment ses fruits en période de deux ans	0
et les statuts doivent	et les statues de	il t les statuts de	1
et les statuts doivent	il t les statuts de	et les statues de	0
il me manque une direction	qu' une direction	il m' manque une direction	0
il me manque une direction	il m' manque une direction	qu' une direction	1
il voulait recevoir madame laborie il m' a assuré qu' il n' en aurait pas pour plus de dix minutes	et je voulais recevoir madame la bourrivouma assurer qu' il en aurait pas pour plus de dix minutes	il voulais recevoir madame nabouri il m'a assurér qu' il en aurait pas impor plus de diminute	0
il voulait recevoir madame laborie il m' a assuré qu' il n' en aurait pas pour plus de dix minutes	il voulais recevoir madame nabouri il m'a assurér qu' il en aurait pas impor plus de diminute	et je voulais recevoir madame la bourrivouma assurer qu' il en aurait pas pour plus de dix minutes	1
est ce que nous en france	ce que nous en france	est-ce que nous en france	0
est ce que nous en france	est-ce que nous en france	ce que nous en france	1
très rapidement comme ça guillaume vous voyez un jour bayrou rejoindre hollande là avant deux mille dix sept	euh très rapidement comme ça euh guillaume vous voyez un jour bayrou rejoindre euh hollande la avan deux milles dix-sept	euhl( très rapidement comme ça eux guillaume vous voyez un jour bayrou rejoindre euh hollande l' avant deux milles dix-sept	1
très rapidement comme ça guillaume vous voyez un jour bayrou rejoindre hollande là avant deux mille dix sept	euhl( très rapidement comme ça eux guillaume vous voyez un jour bayrou rejoindre euh hollande l' avant deux milles dix-sept	euh très rapidement comme ça euh guillaume vous voyez un jour bayrou rejoindre euh hollande la avan deux milles dix-sept	0
avec pugnacité marie labat	avec pugnacité marie-labet	avec pugnacité marie laban	1
avec pugnacité marie labat	avec pugnacité marie laban	avec pugnacité marie-labet	0
le le début de centres nucléaires militaires	le début du centre nucléaire militaire	le le le début de centres nuclé militaires	1
le le début de centres nucléaires militaires	le le le début de centres nuclé militaires	le début du centre nucléaire militaire	0
mario draghi considère que cette irréversibilité	draghi considère que cette irréversibilité	et o dragui considèren que cette irréversibilité	1
mario draghi considère que cette irréversibilité	et o dragui considèren que cette irréversibilité	draghi considère que cette irréversibilité	0
voilà bon week end dans l' immédiat et à très bientôt	bon week end dans l' immédiat et à très bientôt	voilà euh bon week-end dans l' immédiat et a très bientôt	0
voilà bon week end dans l' immédiat et à très bientôt	voilà euh bon week-end dans l' immédiat et a très bientôt	bon week end dans l' immédiat et à très bientôt	1
françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos à dos	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy deux à dos	françois bayrou nous prédit un d estain à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos a dos	0
françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos à dos	françois bayrou nous prédit un d estain à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos a dos	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy deux à dos	1
et c' est la raison pour laquelle j' ai mis ce	c' est la raison pour laquelle j' ai mis	euh c' est la raison pour laquelle j' ai misse euh	1
et c' est la raison pour laquelle j' ai mis ce	euh c' est la raison pour laquelle j' ai misse euh	c' est la raison pour laquelle j' ai mis	0
de service public	service public	de servvies public	1
de service public	de servvies public	service public	0
y aura des représailles côté hamas	qu il y aura des représailles côtéamas	qu il y aura des représailles côté hamas	0
y aura des représailles côté hamas	qu il y aura des représailles côté hamas	qu il y aura des représailles côtéamas	1
le le début de centres nucléaires militaires	le le le début de centres nuclé militaires	le le le début deux centres nucléaires militaires	0
le le début de centres nucléaires militaires	le le le début deux centres nucléaires militaires	le le le début de centres nuclé militaires	1
ils me l' ont dit	le melon	t ills me l' ont dit	0
ils me l' ont dit	t ills me l' ont dit	le melon	1
la compagnie veut proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer les incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transabia	la compagnie veut euh proposer des incitations financières à ces pilotes pour les faire travailler au sein de sa filiale transavia	0
la compagnie veut proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer des incitations financières à ces pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer les incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transabia	1
en fait le le le la rumeur l' information de sa maladie commençait à courir les rédactions	en fait le le le renard l' information ani commencent à courir des rédactions	euh enfin le le le le le le la rumeur l' information de travail commence à courer les rédactions	0
en fait le le le la rumeur l' information de sa maladie commençait à courir les rédactions	euh enfin le le le le le le la rumeur l' information de travail commence à courer les rédactions	en fait le le le renard l' information ani commencent à courir des rédactions	1
et j' ai compris très vite que que j' avais un cancer	compris très vite que je vais danser	et euh je conpris ouh très vite euh que ce que j' aimais un cancer	0
et j' ai compris très vite que que j' avais un cancer	et euh je conpris ouh très vite euh que ce que j' aimais un cancer	compris très vite que je vais danser	1
je sais pas s' il était avec nous florian gazan animateur radio sur fun radio qui était vraiment	je sais pas s' il ést avec nous florient gazan an imateur radio sur fin de radio qui était vraiment	je sais pas siy étre avec nous florient gazan animateur radio sur feun de radio qui était vraiment	0
je sais pas s' il était avec nous florian gazan animateur radio sur fun radio qui était vraiment	je sais pas siy étre avec nous florient gazan animateur radio sur feun de radio qui était vraiment	je sais pas s' il ést avec nous florient gazan an imateur radio sur fin de radio qui était vraiment	1
de sa grand mère ça c' est vraiment c' est c' était ses mots	de sa grand-mère ça c' est vraiment c' est c était ces mots	de sa grand-mère ça c' est vraiment c'est c' était ces mots	0
de sa grand mère ça c' est vraiment c' est c' était ses mots	de sa grand-mère ça c' est vraiment c'est c' était ces mots	de sa grand-mère ça c' est vraiment c' est c était ces mots	1
bien alors donc le show biz avec la sortie aujourd'hui du nouvel album de gossip joyful	bien alors donc on shobiz avec la sortie aujourd' hui du nouvel album euh de gosip joh po	bien alors donc on showbize avec la sortie aujourd' hui du nouvel album euh de gossyp jo kou	0
bien alors donc le show biz avec la sortie aujourd'hui du nouvel album de gossip joyful	bien alors donc on showbize avec la sortie aujourd' hui du nouvel album euh de gossyp jo kou	bien alors donc on shobiz avec la sortie aujourd' hui du nouvel album euh de gosip joh po	1
entre jean louis debré et nicolas sarkozy ils se sont croisés tous les deux	jean louis debré nicolas sarkozy se sont croisés tous les deux	entre jean-louis debré et nicolas sarkozy se sont croisés tous les deux	0
entre jean louis debré et nicolas sarkozy ils se sont croisés tous les deux	entre jean-louis debré et nicolas sarkozy se sont croisés tous les deux	jean louis debré nicolas sarkozy se sont croisés tous les deux	1
mario draghi considère que cette irréversibilité	il y audra qui considère que euh cette irréversibilité	et o dragui considèren que cette irréversibilité	0
mario draghi considère que cette irréversibilité	et o dragui considèren que cette irréversibilité	il y audra qui considère que euh cette irréversibilité	1
ça va être le début on est dans les starting blocs et on espère que ça va bientôt partir	ça va être le début on est dans les starting bloks et on espère que ça va bientôt partir	cela va être le début on est dans les starting block et on espère que ça va bientôt partir	1
ça va être le début on est dans les starting blocs et on espère que ça va bientôt partir	cela va être le début on est dans les starting block et on espère que ça va bientôt partir	ça va être le début on est dans les starting bloks et on espère que ça va bientôt partir	0
mais dans les jeux olympiques y a pas de logique	mais dans les jeux olympiques il y a pas de logique	mais dans les jeux olympiques l y a pas de logique	1
mais dans les jeux olympiques y a pas de logique	mais dans les jeux olympiques l y a pas de logique	mais dans les jeux olympiques il y a pas de logique	0
eddy merckx de de tout temps on a eu des dominateurs dans le peloton des des grands champions	et dhi merx euh en de de tout temps on a eu des dominateurs dans le peloton des des grands champions	et dimerx euh en de de tous temps on a eu des dominateurs dans le peloton des des grands champions	1
eddy merckx de de tout temps on a eu des dominateurs dans le peloton des des grands champions	et dimerx euh en de de tous temps on a eu des dominateurs dans le peloton des des grands champions	et dhi merx euh en de de tout temps on a eu des dominateurs dans le peloton des des grands champions	0
et donc le plus suivi médiatiquement	le plus suivi giaka	et donc le plus suivi on a di	0
et donc le plus suivi médiatiquement	et donc le plus suivi on a di	le plus suivi giaka	1
je préviens le bourget pour leur dire qu' on risque de décoller en retard	près d' un projet pour leur dire qu' on risque de découverte	je crois quand même un projet pour leur dire qu' on risque de d	1
je préviens le bourget pour leur dire qu' on risque de décoller en retard	je crois quand même un projet pour leur dire qu' on risque de d	près d' un projet pour leur dire qu' on risque de découverte	0
elle pourrait rentrer dans un gouvernement ps	elle pourrait rentrer dans un gouvernement du ps pas	elle e en va en tre e dans e n cout e e en le en les e es pa	1
elle pourrait rentrer dans un gouvernement ps	elle e en va en tre e dans e n cout e e en le en les e es pa	elle pourrait rentrer dans un gouvernement du ps pas	0
c' est difficile quand on augmente davantage les dépenses	c' est difficile dont on augmente d avantage les dépenses	c' est difficile dont on augoerse davantage les dépensees)	1
c' est difficile quand on augmente davantage les dépenses	c' est difficile dont on augoerse davantage les dépensees)	c' est difficile dont on augmente d avantage les dépenses	0
oui oui ça je suis assez d' accord parce que c' est il faut mesurer les choses quand les	oui ça fait assez d' accord parce que euh c' est il faut mesurer les choses quand les	oui oui ça chuis assez d' accord parce que c' est il faut mesurer les choses quand les	0
oui oui ça je suis assez d' accord parce que c' est il faut mesurer les choses quand les	oui oui ça chuis assez d' accord parce que c' est il faut mesurer les choses quand les	oui ça fait assez d' accord parce que euh c' est il faut mesurer les choses quand les	1
elle vous fait envie cette campagne	el de vous faire pi ces dan ma	eltes-vous fait envie c' est eni	0
elle vous fait envie cette campagne	eltes-vous fait envie c' est eni	el de vous faire pi ces dan ma	1
ces déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	et déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	ces déclarations ont fait bondir la maison blanche barak obama a réaffirmé sa vigilance	0
ces déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	ces déclarations ont fait bondir la maison blanche barak obama a réaffirmé sa vigilance	et déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	1
c' est nettement moins que pékin ça c' est sûr en revanche c' est	est nettement moins que pékin ça c' est en revanche c' est	c' nettement moins que pékin ça c' est sûr de en revanche c' est	0
c' est nettement moins que pékin ça c' est sûr en revanche c' est	c' nettement moins que pékin ça c' est sûr de en revanche c' est	est nettement moins que pékin ça c' est en revanche c' est	1
pas encore je me le réserve pour ce week end	pas encore je me réserve pour ce week-end	pas encore je vou le réserve pour ce week-end	1
pas encore je me le réserve pour ce week end	pas encore je vou le réserve pour ce week-end	pas encore je me réserve pour ce week-end	0
s' il vous	z il vous	tezl vos	1
s' il vous	tezl vos	z il vous	0
un univers foisonnant que les parisiens pourront découvrir à partir de mercredi et bonne nouvelle c' est gratuit	univers foisonnant que les parisiens pourront découvrir à partir de mercredi bonne nouvelle c' est gratuit	un univers wason que les parisiens pourront découvrir à partir de mercredi et bonne nouvelle s' est gratuée	1
un univers foisonnant que les parisiens pourront découvrir à partir de mercredi et bonne nouvelle c' est gratuit	un univers wason que les parisiens pourront découvrir à partir de mercredi et bonne nouvelle s' est gratuée	univers foisonnant que les parisiens pourront découvrir à partir de mercredi bonne nouvelle c' est gratuit	0
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	au festival lumière le réalisateur conseil engagé en a profité pour se révolter	aurait au festival lumière le réalisateur conseil engagée en a profité pour se révolter	1
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	aurait au festival lumière le réalisateur conseil engagée en a profité pour se révolter	au festival lumière le réalisateur conseil engagé en a profité pour se révolter	0
depuis le début de l' année l' île	depuis le début de l' année lille	depuis le début de l' année l îlle	0
depuis le début de l' année l' île	depuis le début de l' année l îlle	depuis le début de l' année lille	1
dix huit heures trente après	dix-huit heures et trent inte mintee après	dix-huit heures trene après	0
dix huit heures trente après	dix-huit heures trene après	dix-huit heures et trent inte mintee après	1
à peine le débat commencé donc que déjà la première salve	a peine le débat commencé donc que déjà la première salve	à peine le débat a commencé donc que déjà la première salve	1
à peine le débat commencé donc que déjà la première salve	à peine le débat a commencé donc que déjà la première salve	a peine le débat commencé donc que déjà la première salve	0
donc on va on va le laisser vous répondre	donc on va on va le laisser vos répondres	donc on va on va le laisser vos réponde	1
